---
source: R[v4.5.0]::data.table[v1.17.0]::fwrite
creation_time_utc: 2025-08-18 13:52:36
schema:
  fields:
  - name: species
    type: character
  - name: year_
    type: integer
  - name: nest
    type: character
  - name: male_id
    type: integer
  - name: female_id
    type: integer
  - name: lat
    type: numeric
  - name: lon
    type: numeric
  - name: initiation
    type: POSIXct
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
species,year_,nest,male_id,female_id,lat,lon,initiation
REPH,2019,R304,270170235,273145101,71.325934,-156.64127,2019-06-10T13:41:56Z
REPH,2019,R305,273145091,273145090,71.321464,-156.653927,2019-06-13T11:45:02Z
REPH,2019,R306,270170952,273145053,71.323922,-156.636286,2019-06-07T08:51:30Z
REPH,2019,R307,273145051,273145104,71.322605,-156.636766,2019-06-07T12:00:00Z
REPH,2019,R308,273145031,273145032,71.324469,-156.672063,2019-06-10T08:56:46Z
REPH,2019,R309,273145089,273145088,71.320173,-156.638481,2019-06-12T14:39:09Z
REPH,2019,R310,270170768,273145097,71.312569,-156.657601,2019-06-13T12:00:00Z
REPH,2019,R311,270170345,270170564,71.324834,-156.643062,2019-06-08T15:34:30Z
REPH,2019,R312,270170969,273145136,71.315243,-156.662794,2019-06-17T13:12:19Z
REPH,2019,R313,270170959,19313,71.315903,-156.663027,2019-06-17T21:03:22Z
REPH,2019,R314,270170837,273145069,71.322143,-156.636502,2019-06-15T12:39:18Z
REPH,2019,R315,273145223,19315,71.32243,-156.628851,2019-06-14T13:37:00Z
REPH,2019,R316,273145201,273145100,71.322443,-156.632571,2019-06-15T15:57:00Z
REPH,2019,R324,273145369,270170083,71.322515,-156.627635,2019-06-02T15:02:00Z
REPH,2019,R401,273145045,273145046,71.325522,-156.638802,2019-06-08T12:30:00Z
REPH,2019,R402,270170756,270170962,71.315121,-156.660108,2019-06-12T05:33:05Z
REPH,2019,R403,270170983,19403,71.320517,-156.635275,2019-06-13T12:06:00Z
REPH,2019,R404,270170829,270170828,71.323586,-156.678102,2019-06-14T13:31:02Z
REPH,2019,R405,273145103,270170935,71.321769,-156.676133,2019-06-09T05:49:30Z
REPH,2019,R406,270170938,270170935,71.322383,-156.671423,2019-06-18T11:11:51Z
REPH,2019,R407,273145095,273145094,71.322049,-156.672837,2019-06-15T10:46:01Z
REPH,2019,R408,270170988,270170936,71.320935,-156.666402,2019-06-14T14:40:45Z
REPH,2019,R409,270170831,19409,71.32017,-156.672448,2019-06-17T10:22:00Z
REPH,2019,R410,270170705,270170933,71.318814,-156.661688,2019-06-15T16:00:17Z
REPH,2019,R411,270170975,270170974,71.319376,-156.657385,2019-06-14T10:42:00Z
REPH,2019,R412,270170347,273145225,71.320041,-156.641473,2019-06-22T11:42:00Z
REPH,2019,R413,273145238,273145237,71.323332,-156.629647,2019-06-22T14:22:00Z
REPH,2019,R501,270170924,,71.32195,-156.63284,2019-06-07T12:00:00Z
REPH,2019,R502,273145126,270170942,71.32357,-156.66251,2019-06-11T12:00:00Z
REPH,2019,R503,270170832,273145063,71.323106,-156.676715,2019-06-15T11:05:00Z
REPH,2019,R504,270170847,270170848,71.319764,-156.664566,2019-06-18T16:10:00Z
REPH,2019,R505,270170863,270170999,71.315501,-156.660425,2019-06-23T03:57:09Z
REPH,2019,R601,270170903,270170902,71.32272,-156.634482,2019-06-08T15:32:00Z
REPH,2019,R602,273145141,273145087,71.319289,-156.647664,2019-06-12T10:36:00Z
REPH,2019,R603,273145077,273145076,71.322288,-156.662423,2019-06-13T06:52:15Z
REPH,2019,R604,273145073,273145074,71.321348,-156.65029,2019-06-13T11:55:08Z
REPH,2019,R605,273145062,270170905,71.326473,-156.64114,2019-06-16T13:36:46Z
REPH,2019,R606,273145222,19222,71.328435,-156.641415,2019-06-11T23:26:51Z
REPH,2019,R607,273145150,270170984,71.317305,-156.646779,2019-06-17T16:38:00Z
REPH,2019,R608,270170982,270170979,71.315959,-156.657501,2019-06-16T04:02:00Z
REPH,2019,R609,273145215,273145214,71.313688,-156.660373,2019-06-18T15:41:00Z
REPH,2019,R610,273145234,273145233,71.328567,-156.641535,2019-06-18T14:33:00Z
